scale,name,serie,serie_name
s,s_energycosttranspkmdslmotor,s_energycosttranspkmds,
s,s_energycosttranspkmelebus,s_energycosttranspkmele,
s,s_energycosttranspkmelembl,s_energycosttranspkmele,
s,s_energycosttranspkmelemotor,s_energycosttranspkmele,
s,s_energycosttranspkmptrbus,s_energycosttranspkmptr,
s,s_energycosttranspkmptrmbl,s_energycosttranspkmptr,
s,s_energycosttranspkmptrmotor,s_energycosttranspkmptr,
s,s_jobcountjc1,s_jobcount,
s,s_jobcountjc2,s_jobcount,
s,s_jobcountjc3,s_jobcount,
s,s_jobcountjc4,s_jobcount,
s,s_jobcountjc5,s_jobcount,
s,s_jobcountjc6,s_jobcount,
s,s_jobcountjc7,s_jobcount,
s,s_jobdensityjc1,s_jobdensity,
s,s_jobdensityjc2,s_jobdensity,
s,s_jobdensityjc3,s_jobdensity,
s,s_jobdensityjc4,s_jobdensity,
s,s_jobdensityjc5,s_jobdensity,
s,s_jobdensityjc6,s_jobdensity,
s,s_jobdensityjc7,s_jobdensity,
s,s_jobhouseratiojc1,s_jobhouseratio,
s,s_jobhouseratiojc2,s_jobhouseratio,
s,s_jobhouseratiojc3,s_jobhouseratio,
s,s_jobhouseratiojc4,s_jobhouseratio,
s,s_jobhouseratiojc5,s_jobhouseratio,
s,s_jobhouseratiojc6,s_jobhouseratio,
s,s_jobhouseratiojc7,s_jobhouseratio,
s,s_landusearealc1,s_landusearea,
s,s_landusearealc2,s_landusearea,
s,s_landusearealc3,s_landusearea,
s,s_landusearealc4,s_landusearea,
s,s_landusearealc5,s_landusearea,
s,s_landusearealc6,s_landusearea,
s,s_landusearealc7,s_landusearea,
s,s_landusearealc8,s_landusearea,
s,s_popcountpc1,s_popcount,
s,s_popcountpc2,s_popcount,
s,s_popcountpc3,s_popcount,
s,s_popcountpc4,s_popcount,
s,s_popcountpc5,s_popcount,
s,s_popcountpc6,s_popcount,
s,s_transdistbus,s_transdist,
s,s_transdistmbl,s_transdist,
s,s_transdistmotor,s_transdist,
s,s_transflowtc1,s_transflow,
s,s_transflowtc2,s_transflow,
s,s_transflowtc3,s_transflow,
s,s_transflowtc4,s_transflow,
s,s_transflowtc5,s_transflow,
s,s_transflowtc6,s_transflow,
s,s_transflowtc7,s_transflow,
s,s_tripcmpcostpc1,s_tripcmpcost,
s,s_tripcmpcostpc2,s_tripcmpcost,
s,s_tripcmpcostpc3,s_tripcmpcost,
s,s_tripcmpcostpc4,s_tripcmpcost,
s,s_tripcmpcostpc5,s_tripcmpcost,
s,s_tripcmpcostpc6,s_tripcmpcost,
s,s_tripfeecostpc1,s_tripfeecost,
s,s_tripfeecostpc2,s_tripfeecost,
s,s_tripfeecostpc3,s_tripfeecost,
s,s_tripfeecostpc4,s_tripfeecost,
s,s_tripfeecostpc5,s_tripfeecost,
s,s_tripfeecostpc6,s_tripfeecost,
s,s_triptimecostpc1,s_triptimecost,
s,s_triptimecostpc2,s_triptimecost,
s,s_triptimecostpc3,s_triptimecost,
s,s_triptimecostpc4,s_triptimecost,
s,s_triptimecostpc5,s_triptimecost,
s,s_triptimecostpc6,s_triptimecost,
s,s_carbonemissionbuild,s_carbonemission,
s,s_carbonemissionland,s_carbonemission,
s,s_carbonemissiontrans,s_carbonemission,
g,g_popcountpc1,g_popcount,
g,g_popcountpc2,g_popcount,
g,g_popcountpc3,g_popcount,
g,g_popcountpc4,g_popcount,
g,g_popcountpc5,g_popcount,
g,g_popcountpc6,g_popcount,
g,g_transattcvolumepc1,g_transattcvolume,
g,g_transattcvolumepc2,g_transattcvolume,
g,g_transattcvolumepc3,g_transattcvolume,
g,g_transattcvolumepc4,g_transattcvolume,
g,g_transattcvolumepc5,g_transattcvolume,
g,g_transattcvolumepc6,g_transattcvolume,
g,g_transgenvolumepc1,g_transgenvolume,
g,g_transgenvolumepc2,g_transgenvolume,
g,g_transgenvolumepc3,g_transgenvolume,
g,g_transgenvolumepc4,g_transgenvolume,
g,g_transgenvolumepc5,g_transgenvolume,
g,g_transgenvolumepc6,g_transgenvolume,
r,r_jamindexavg,r_jamindex,
r,r_jamindexmorning,r_jamindex,
r,r_jamindexnight,r_jamindex,
r,r_jamindexnormal,r_jamindex,
r,r_jamspeedavgmc1,r_jamspeedavg,
r,r_jamspeedavgmc2,r_jamspeedavg,
r,r_jamspeedavgmc3,r_jamspeedavg,
r,r_jamspeedmorningmc1,r_jamspeedmorning,
r,r_jamspeedmorningmc2,r_jamspeedmorning,
r,r_jamspeedmorningmc3,r_jamspeedmorning,
r,r_jamspeednightmc1,r_jamspeednight,
r,r_jamspeednightmc2,r_jamspeednight,
r,r_jamspeednightmc3,r_jamspeednight,
r,r_jamspeednormalmc1,r_jamspeednormal,
r,r_jamspeednormalmc2,r_jamspeednormal,
r,r_jamspeednormalmc3,r_jamspeednormal,
r,r_transflowavgtc1,r_transflowavg,
r,r_transflowavgtc2,r_transflowavg,
r,r_transflowavgtc3,r_transflowavg,
r,r_transflowavgtc4,r_transflowavg,
r,r_transflowavgtc5,r_transflowavg,
r,r_transflowavgtc6,r_transflowavg,
r,r_transflowavgtc7,r_transflowavg,
r,r_transflowmorningtc1,r_transflowmorning,
r,r_transflowmorningtc2,r_transflowmorning,
r,r_transflowmorningtc3,r_transflowmorning,
r,r_transflowmorningtc4,r_transflowmorning,
r,r_transflowmorningtc5,r_transflowmorning,
r,r_transflowmorningtc6,r_transflowmorning,
r,r_transflowmorningtc7,r_transflowmorning,
r,r_transflownighttc1,r_transflownight,
